Shoulder_X,Shoulder_Y,Shoulder_Z
41.13,-17.25,164.25
3.06,-10.19,133.31
12.81,-15.88,176.81
2.06,-10.0,126.06
17.12,3.25,131.75
38.44,2.75,168.38
46.56,-1.81,162.31
23.37,4.5,136.69
1.12,-27.25,182.25
-1.44,-28.12,177.94
42.75,-2.25,161.06
37.56,-1.12,175.69
2.31,-9.75,127.75
1.25,-20.62,171.56
-19.5,-33.88,140.63
-20.37,-19.75,138.94
-0.56,5.44,124.56
-28.06,-7.63,115.87
-2.63,-21.12,164.31
-5.88,-32.5,159.56
-43.63,-34.44,125.75
-43.31,-32.94,130.25
-22.06,-9.69,129.5
2.0,-17.94,164.38
-52.63,-29.37,121.81
0.12,-27.0,186.38
41.81,-1.31,175.63
32.81,2.06,141.94
3.25,-27.75,187.19
32.63,-20.62,164.94
0.63,-30.12,156.75
-41.19,-34.69,129.88
-24.12,-5.44,117.87
42.81,-17.56,155.69
-25.87,-19.87,133.94
0.69,-7.06,137.56
1.88,-10.69,129.44
7.38,-15.0,148.0
3.38,-9.0,134.25
17.37,-28.25,163.25
46.38,-1.94,159.06
1.75,-18.62,163.5
-32.38,-33.88,143.94
17.06,4.38,132.25
-51.13,-27.62,132.25
42.25,-0.63,148.25
3.5,-8.38,128.06
-10.13,0.44,130.25
-19.25,-33.5,150.19
37.38,-23.44,157.63
26.5,-23.31,149.0
20.31,-22.87,168.06
1.06,-9.25,144.06
2.63,-4.38,129.44
2.31,-8.69,121.56
2.63,-6.56,124.12
-11.06,1.25,130.19
-2.81,-24.12,162.0
-51.69,-29.75,119.12
4.81,-23.19,162.69
14.13,9.31,132.5
-2.06,-25.56,160.44
3.25,11.38,128.44
-48.0,-32.31,130.69
43.75,1.12,168.44
-13.38,-12.0,128.88
-38.81,-34.81,126.69
4.0,-25.94,183.75
33.75,-17.5,166.13
20.62,8.06,133.63
-54.25,-27.12,123.69
4.75,-15.31,154.38
3.69,-8.69,129.63
-23.06,-15.44,130.63
-21.56,-31.31,158.75
1.0,-29.62,183.75
17.69,-12.44,176.94
40.75,-1.44,167.69
-50.0,-27.94,133.56
10.31,-25.0,163.13
4.19,-17.69,140.88
0.31,-18.69,160.0
-41.19,-31.37,145.75
-1.56,-1.25,128.06
-7.75,-29.37,166.5
-13.31,-27.81,160.31
36.56,-23.0,157.19
6.69,-15.0,150.56
35.88,1.63,155.19
-24.25,-28.5,149.88
-14.69,-24.06,142.63
-20.25,-26.06,159.0
-27.19,-23.94,138.13
-1.69,-19.87,162.81
-54.06,-28.69,117.0
-17.69,-26.87,144.19
35.63,-23.94,164.31
-26.06,-20.81,131.56
-41.56,-30.12,145.0
37.69,-2.06,145.31
-45.56,-28.5,141.06
10.88,-17.87,181.88
-44.88,-27.19,142.5
-42.06,-29.25,146.44
-13.19,1.0,128.38
8.06,-27.06,182.0
-12.44,0.44,128.56
-1.25,-29.31,186.31
-2.06,-19.75,160.63
6.31,-9.0,135.56
-18.94,-29.69,157.06
-1.88,-25.0,176.88
-19.62,-33.81,145.13
-2.75,-25.62,183.69
-34.13,-34.94,146.06
2.25,-20.31,170.56
0.5,-24.75,168.5
-1.69,-27.25,182.19
16.31,6.75,132.06
0.44,-26.56,182.5
31.06,-7.25,172.0
-1.06,-27.81,185.81
31.87,-21.06,149.38
-15.75,-25.69,161.31
41.69,-14.63,153.63
1.5,-21.31,161.31
22.06,-10.44,178.81
42.25,-13.88,149.13
34.75,-21.31,165.63
39.5,-0.31,170.0
6.5,-12.31,139.19
2.13,-11.0,146.81
42.63,-13.81,149.06
-45.69,-31.44,136.44
41.44,-14.56,153.38
7.31,-19.81,172.13
0.5,-27.12,184.13
32.0,5.81,141.44
-3.06,-32.88,146.38
30.5,2.56,141.25
32.44,-3.88,178.38
8.0,-21.25,160.5
34.88,0.75,154.38
-2.44,-27.87,173.63
2.31,-6.44,125.75
37.94,-22.12,160.38
-43.88,-34.31,125.56
-30.06,-35.38,148.13
3.56,-5.75,131.94
3.06,-6.94,127.44
-29.56,-32.06,152.63
2.13,-22.37,163.94
-17.87,-26.75,147.75
2.81,-7.75,121.25
1.25,-15.13,156.38
-7.38,1.37,126.56
2.81,-21.44,160.31
-49.19,-26.75,136.69
-14.0,-4.63,126.44
4.94,-15.0,153.69
-26.75,-34.06,144.56
1.69,-19.44,165.5
1.94,-7.25,138.88
42.0,-19.56,149.19
1.31,-22.87,177.0
3.63,-27.87,184.19
-9.81,-0.69,129.44
46.38,-2.38,169.94
41.88,-18.62,162.13
-46.81,-32.19,136.13
36.88,-6.13,184.69
28.37,-7.31,174.63
-13.25,-34.19,143.5
2.13,-11.31,133.38
2.5,-12.31,139.38
2.94,2.13,129.19
34.31,2.06,153.56
34.88,-24.06,164.25
-17.25,-31.31,143.0
-1.25,-22.25,163.63
38.06,-17.0,166.56
4.25,-16.5,150.19
2.94,-10.69,134.69
-28.56,-37.38,138.19
44.44,-11.56,168.63
-4.75,-30.62,145.44
-14.0,-27.12,158.56
-12.38,-21.31,134.69
1.0,-29.44,183.19
6.38,4.25,130.13
-3.94,-32.13,160.25
37.06,-3.63,176.69
1.5,-27.25,179.0
38.19,3.88,159.88
-4.19,1.5,127.0
-38.63,-35.25,132.44
-9.56,-30.69,143.81
-13.19,-16.44,128.63
6.06,8.19,130.94
-3.38,-25.81,160.25
3.19,-24.0,179.81
-13.56,-32.75,158.13
-25.56,-36.25,136.38
33.06,-17.37,177.38
1.19,-10.5,123.19
-9.0,-26.75,170.75
43.94,-5.63,169.0
33.38,3.75,140.63
-1.81,-26.31,173.69
6.06,-23.25,165.38
0.25,-9.56,130.19
-31.87,-17.12,130.44
0.69,-27.5,182.75
8.5,-9.44,127.25
8.31,-11.5,141.0
-25.69,-24.31,141.81
-22.94,-6.75,130.0
42.56,-1.94,173.31
3.13,-9.94,130.06
-3.69,-31.19,152.88
-17.12,-29.69,159.81
19.56,-22.12,147.31
0.56,-29.12,184.75
-26.25,-33.06,148.56
-25.0,-25.87,143.69
-31.81,-32.06,151.25
3.31,-27.81,187.13
-16.19,-10.38,131.06
4.69,8.06,130.81
43.25,-15.56,154.13
-40.56,-34.25,140.19
44.44,-7.81,170.75
1.12,-22.31,174.69
39.06,0.5,154.38
-12.81,-28.87,153.0
-20.5,-17.75,135.63
-50.0,-31.19,123.56
-22.37,-35.88,139.25
-14.63,-18.44,128.25
-19.44,-32.44,151.38
7.31,-24.62,171.44
34.19,1.75,145.25
3.5,-19.87,162.31
-1.37,-25.62,177.69
-24.94,-33.0,151.25
-18.25,-26.62,160.13
-0.88,-27.37,160.19
47.19,-18.56,158.63
29.25,-21.62,164.88
14.94,-23.06,147.06
0.12,-23.31,165.88
42.69,-17.75,162.13
5.38,-23.5,180.38
2.75,-10.44,134.69
-32.69,-25.56,147.81
46.88,-3.25,179.69
12.75,-20.06,180.38
-8.94,-33.81,148.94
39.06,-15.81,167.56
-16.31,-27.31,158.0
4.06,-14.75,140.81
6.69,-11.44,132.31
22.25,6.0,134.5
2.19,-22.31,165.25
-17.87,-29.31,156.56
-7.88,3.69,130.81
26.87,-20.75,163.5
-19.81,-28.56,159.25
13.19,-11.5,182.63
-27.0,-35.88,136.0
-33.88,-35.88,138.81
43.31,-4.06,167.56
-16.25,-20.87,136.81
16.12,9.5,132.81
-19.94,-17.56,132.69
-3.44,-25.5,174.25
4.81,-14.0,148.0
4.25,-17.31,140.06
-20.37,-31.62,148.38
9.63,-16.06,177.19
-28.12,-34.94,141.5
-0.56,10.38,118.19
42.25,-18.12,161.94
-32.06,-35.88,132.69
-19.5,-9.31,127.5
44.25,-18.69,153.19
21.81,-24.87,152.13
24.69,8.25,137.5
-27.19,-36.31,134.94
-1.44,-27.69,181.69
-30.0,-27.94,151.88
0.63,-9.19,126.12
29.75,5.0,141.0
40.06,-1.88,163.81
24.31,7.13,136.88
-33.75,-33.25,143.56
-18.12,-32.94,148.44
-3.38,-25.31,178.94
-7.75,1.0,126.5
-16.19,-13.94,132.0
-0.5,-27.56,184.5
23.06,7.44,131.38
-29.19,-36.0,134.94
1.81,-12.31,144.31
2.31,-23.81,167.13
42.06,-3.0,174.06
47.0,-3.63,173.44
18.62,9.25,136.25
-2.25,-30.12,185.75
40.19,-16.44,164.81
3.25,-12.5,143.81
23.0,-25.0,159.44
-1.56,-22.44,166.94
40.88,-1.75,176.75
40.25,5.69,157.94
-25.69,-19.5,133.5
-11.31,-23.87,157.31
33.13,1.19,141.75
0.19,-9.5,129.38
43.81,-20.56,161.56
39.94,-20.44,162.0
1.94,-11.94,147.31
44.75,0.94,162.94
47.31,-14.31,169.25
-1.12,-8.19,128.63
-6.25,-29.19,172.0
1.63,-26.87,184.25
-24.94,-25.62,158.44
43.75,-5.88,173.0
-18.19,-26.0,160.44
-32.5,-18.31,132.06
1.37,-25.19,168.44
0.94,-15.38,146.63
7.63,-11.0,144.0
-11.06,-5.13,128.0
-3.5,-23.12,177.13
3.5,-27.81,186.69
31.5,-23.62,160.38
-16.5,-25.69,153.0
38.31,-17.94,166.81
1.06,-22.62,162.44
-51.81,-28.94,127.5
-2.81,-27.12,173.19
39.81,-21.31,155.56
1.25,-21.12,156.25
-1.88,-27.06,180.31
-9.5,-25.12,160.88
-4.44,-0.19,128.06
-29.62,-14.38,131.81
-34.94,-35.63,134.88
-5.13,-27.94,159.38
-16.69,0.63,129.38
-14.31,-13.19,129.06
-52.75,-28.25,115.12
1.12,-27.12,174.5
-34.63,-30.62,151.31
-1.81,-26.37,185.81
2.0,-9.94,125.25
38.75,-19.12,165.75
-49.63,-26.37,133.13
-4.19,2.56,126.94
-49.81,-28.81,131.06
4.19,-14.88,149.75
3.44,-19.25,155.19
-0.06,-22.62,179.75
37.63,-22.31,157.38
2.0,-6.0,132.75
4.56,-16.44,137.44
-35.31,-34.5,139.0
39.94,-2.38,148.44
-12.69,-25.37,161.31
2.38,-14.81,147.38
-51.81,-29.25,116.44
36.19,-2.25,180.31
-0.75,-27.44,184.88
36.5,-1.12,154.81
37.5,-5.69,180.31
-32.19,-35.81,137.06
-0.06,-25.37,160.63
5.5,-16.87,163.5
-20.0,-13.13,127.44
35.63,0.25,155.63
15.5,5.81,130.5
-1.44,4.5,131.0
3.69,-16.25,149.13
-31.94,-28.37,150.63
40.81,-21.31,160.56
-48.75,-30.94,120.62
-7.06,0.19,126.62
6.63,-12.5,140.06
2.88,-12.94,140.94
-3.5,-25.06,173.06
29.44,7.56,138.69
-1.63,-27.44,185.25
38.0,0.94,151.44
3.5,-9.75,134.81
7.75,-17.75,154.0
5.38,-28.62,183.38
6.81,-11.06,130.75
-20.31,-17.37,135.13
-13.19,-26.94,152.5
1.31,-8.0,131.88
3.44,-23.25,170.69
41.75,-18.75,166.0
40.88,-19.56,156.56
-25.94,-21.81,145.81
2.19,-9.38,118.56
-19.37,-11.5,127.06
4.25,-26.12,184.75
5.75,-6.13,126.56
2.0,-9.5,132.69
2.5,-28.31,158.44
18.94,8.69,137.19
1.12,-24.87,184.31
45.75,-13.19,178.31
4.38,-23.06,165.81
39.31,-4.44,177.75
1.81,-25.44,172.88
2.75,-27.75,184.25
32.63,-7.38,184.38
0.56,-11.38,139.06
-1.75,-21.5,169.44
39.5,-0.75,145.94
3.38,-12.13,143.06
0.19,-7.63,120.5
29.06,-22.5,149.13
-22.37,-30.69,155.38
42.94,-2.56,172.25
-28.62,-33.0,145.69
29.06,-19.87,167.13
33.81,1.88,168.31
-12.25,-33.94,158.13
-9.81,-17.75,164.13
3.88,-8.69,126.0
39.81,-2.19,152.88
-35.81,-33.31,142.25
3.06,-9.19,131.75
-14.63,-23.44,141.31
7.0,-13.81,179.94
-3.63,-24.19,173.0
-3.56,-29.12,185.81
4.31,-26.44,182.31
-48.88,-32.06,130.0
3.63,-26.19,163.0
42.81,-17.56,162.13
-33.25,-20.37,140.38
-22.19,-9.13,126.19
41.13,-14.88,163.25
43.44,-1.56,158.69
-32.75,-36.38,133.25
0.56,-17.75,162.19
35.5,-20.75,149.06
31.44,-6.13,179.13
29.69,-7.56,181.13
45.0,0.63,174.5
-7.63,-25.19,144.81
2.13,-15.31,142.69
11.44,-24.69,163.13
-8.56,6.06,125.37
31.37,3.19,138.81
40.75,-0.88,150.0
2.06,-9.06,133.13
4.06,-16.0,145.0
-45.44,-32.81,132.5
39.69,-22.25,163.38
35.69,-1.75,176.56
35.44,-19.5,162.19
3.94,-27.56,182.31
-21.94,-28.81,152.13
-4.88,-25.87,171.81
2.56,-19.81,173.25
-49.19,-30.56,123.25
39.0,3.19,147.56
2.38,-23.87,174.31
-1.94,-26.62,183.75
40.0,-2.13,173.13
-12.06,-26.62,174.88
39.94,-22.06,163.31
-0.94,-24.87,173.44
3.38,-24.75,173.56
3.44,-9.19,129.31
-13.44,-25.19,162.0
5.13,-20.81,170.69
-19.19,-15.75,134.5
22.0,-24.56,153.25
-11.81,-32.5,158.63
22.25,8.19,129.06
-1.94,-26.56,184.31
-14.63,-33.5,143.31
38.06,-5.75,184.63
-34.81,-15.94,127.75
-48.81,-29.44,133.81
-13.19,-32.31,150.25
-49.25,-26.69,136.5
-33.19,-34.75,145.0
-34.38,-32.81,133.38
42.13,-0.94,148.31
17.62,9.56,136.13
3.0,-28.12,184.31
-54.94,-26.69,122.87
2.13,-19.25,151.38
-46.25,-31.87,135.44
30.12,-5.69,169.13
3.0,-26.37,179.38
46.25,-21.06,151.13
43.19,-3.75,166.75
2.06,-9.88,127.87
1.56,-28.06,182.81
14.88,-12.94,170.81
-38.06,-35.38,131.69
13.31,-9.81,169.19
-23.37,-24.5,138.56
2.5,-13.13,144.94
-35.31,-32.5,132.75
-41.13,-30.12,145.31
-12.5,-32.69,156.25
-22.62,-23.06,153.06
8.38,-19.5,156.38
3.06,-9.38,132.63
5.38,-13.0,136.63
0.44,-24.19,178.88
15.31,-23.5,170.0
41.5,-14.56,153.44
-51.31,-30.12,122.19
37.5,-5.13,171.94
-15.81,-23.75,149.13
42.19,3.19,163.13
-22.19,-19.06,132.5
5.88,-14.06,145.19
-22.81,-31.62,154.56
-26.06,-14.88,132.88
7.69,-29.25,182.56
34.13,1.19,152.13
5.38,-10.44,124.12
-15.56,-23.0,140.5
34.5,-2.94,165.63
-3.31,-25.81,185.56
-2.75,-25.5,184.06
-14.63,-25.37,170.56
-2.0,-16.87,159.75
8.19,-21.19,161.75
2.13,-12.69,143.81
5.38,-11.88,130.06
-5.81,-29.5,156.81
1.69,-13.44,145.31
-5.44,0.69,128.38
6.38,-16.44,150.69
5.56,-12.88,144.0
3.56,-16.37,179.88
40.38,-14.75,164.06
34.06,-19.19,164.69
-4.5,-31.62,146.69
-13.5,-12.44,128.94
41.94,-3.38,172.69
-0.5,-10.69,137.19
-20.62,-26.25,162.94
44.44,-11.56,168.69
-40.81,-33.56,135.38
1.44,-18.12,153.31
-23.31,-33.19,149.56
-1.44,-29.06,186.25
-36.13,-36.0,132.94
29.62,-23.12,153.31
3.25,-7.19,123.44
5.31,-26.81,172.56
-25.87,-23.94,138.69
36.19,-0.81,152.44
19.69,-12.88,176.19
-13.25,-5.44,129.06
4.5,-21.06,169.13
-4.19,-29.5,153.13
7.0,-9.88,139.88
4.31,-8.63,125.19
0.0,-28.44,180.56
34.75,4.94,144.38
7.25,8.06,127.19
-6.0,-24.5,166.0
4.06,-8.5,125.44
11.94,-11.0,179.44
-17.37,-30.19,153.63
-9.69,-24.69,161.88
38.19,-6.31,179.0
-19.69,-17.5,129.88
40.69,-2.25,173.69
-18.69,-29.06,161.31
41.5,-19.44,153.38
-5.75,-23.87,168.44
45.81,-2.0,165.06
2.63,-8.5,118.94
2.13,-26.5,178.25
-33.81,-34.69,144.5
2.44,-18.12,155.88
-37.06,-35.06,144.31
-20.19,-33.63,149.63
3.31,-26.69,181.25
-14.19,-23.75,142.38
47.38,-17.94,158.63
1.44,-27.19,185.56
3.81,-29.44,153.94
-6.75,-30.75,147.31
3.19,-11.25,133.75
42.94,-18.06,152.19
1.75,-26.44,184.44
22.5,-20.12,164.63
3.19,-14.5,140.88
35.56,-20.87,165.94
30.44,-23.87,160.31
-10.31,-11.5,126.06
-47.0,-32.75,125.94
41.38,-2.44,158.25
-8.13,0.63,124.62
12.69,-26.37,148.06
3.63,-5.69,131.5
4.5,-10.69,138.88
36.19,-21.5,167.69
-14.5,-11.19,130.38
23.0,-26.44,149.44
45.69,1.0,175.75
-3.19,-31.19,155.56
1.75,-26.19,184.31
-1.63,-27.44,181.0
5.56,-23.5,181.31
2.19,-9.88,125.37
45.56,-1.94,164.44
11.13,-28.19,152.56
45.13,-17.25,159.38
37.63,1.94,144.63
-48.31,-31.56,128.81
-4.75,9.0,126.31
-13.88,-22.12,150.19
-15.44,-11.44,127.25
-3.0,-22.06,174.56
33.19,1.75,149.0
2.69,-19.06,161.88
44.56,-19.75,152.13
-2.69,-27.56,166.63
6.44,-15.63,157.56
-42.63,-27.75,146.56
-12.69,-24.81,154.44
43.06,-17.0,162.44
4.06,-31.0,161.06
-0.5,-29.19,178.06
39.25,-18.62,163.81
-25.87,-11.94,126.44
-12.06,-24.25,164.31
3.44,-24.12,172.44
-28.37,-31.56,150.06
40.25,-16.12,170.13
4.31,-17.87,160.63
1.69,-23.94,176.63
-38.56,-32.0,130.13
1.31,-26.06,186.0
44.69,-1.0,169.63
1.0,-30.0,161.94
4.5,-29.31,154.0
1.88,-21.12,166.06
41.44,3.0,154.31
5.63,-27.75,147.75
6.0,-8.19,133.25
20.5,-10.44,176.19
20.69,2.94,135.0
3.5,-17.12,161.69
-7.75,-23.31,164.25
30.0,-7.06,172.0
-25.06,-29.31,164.06
1.25,-18.94,155.06
-1.56,-27.69,181.44
-15.0,2.0,131.5
-16.62,-29.62,156.75
41.63,-17.62,155.81
-1.69,-9.56,127.12
44.13,-3.94,162.31
-6.5,-28.37,160.13
-1.88,-26.19,175.38
29.56,6.38,138.44
1.81,-20.06,166.94
1.75,-12.13,143.63
25.19,2.56,138.31
-54.44,-27.0,123.5
10.25,3.0,130.88
15.31,9.38,132.75
19.75,-27.0,149.25
-43.56,-33.81,124.0
3.88,-9.94,127.5
-17.62,-20.69,141.31
2.75,-11.06,136.06
-9.19,-27.06,161.06
10.13,9.13,127.5
-24.87,-35.31,152.06
0.94,-27.62,181.31
7.69,-18.0,152.63
-17.94,-22.0,136.56
-53.81,-28.81,117.25
10.31,10.13,132.69
2.44,-11.5,138.38
-0.94,-27.25,178.25
0.37,-8.31,126.25
-43.38,-31.87,136.75
5.31,-10.0,123.81
2.88,-15.06,148.38
43.63,0.56,165.56
2.56,-16.5,152.25
-43.25,-34.38,128.94
38.19,-5.19,171.81
-20.37,-22.94,136.63
43.5,-14.0,149.44
-2.06,-20.31,175.56
-15.13,-28.19,160.56
45.63,0.31,176.25
44.69,-12.69,179.19
1.63,-20.12,170.56
0.0,-20.94,164.38
5.81,-24.44,170.06
3.31,-9.56,133.19
2.0,-22.56,163.94
3.44,-18.37,149.94
-1.5,-23.37,173.44
-45.44,-32.69,136.88
1.63,-13.63,150.06
4.0,-12.94,143.69
-26.62,-35.5,141.0
36.31,-1.5,176.31
42.75,-2.06,157.31
8.25,-28.37,151.69
45.69,-1.94,155.13
38.25,-19.06,162.13
2.88,-10.06,134.06
-0.19,7.0,131.13
-1.94,-20.19,167.25
14.94,-27.19,165.81
-46.13,-34.25,127.31
39.63,-4.0,168.38
11.25,-14.19,170.5
14.63,6.94,133.81
15.75,-25.62,148.44
38.06,-5.88,176.38
-32.56,-32.5,150.63
32.81,2.31,144.13
3.88,-13.13,137.0
-0.37,-16.87,165.75
2.63,-18.0,164.13
46.31,-15.31,170.06
11.56,-28.56,147.19
39.5,-7.69,175.0
0.75,-19.06,162.31
14.0,-23.94,161.06
11.19,4.25,130.63
17.87,-14.56,179.06
3.81,-8.25,127.12
-3.25,-28.75,183.38
-13.94,-25.31,161.94
29.81,5.88,139.63
1.37,-23.87,168.31
1.31,-26.69,176.06
-54.06,-27.12,122.75
-4.19,-30.87,161.94
-25.94,-26.44,143.25
42.88,-17.25,149.88
35.81,-4.81,178.56
39.63,-17.44,168.25
-1.19,-26.81,161.88
-38.94,-35.13,132.19
7.19,-25.5,175.38
-20.56,-22.37,155.5
41.38,1.69,171.0
-18.75,-31.94,147.13
0.56,-24.0,177.56
-53.94,-28.31,119.25
26.31,-8.94,179.06
44.31,-18.75,152.13
13.75,-26.25,159.88
3.63,-17.19,150.25
37.75,3.19,148.88
43.0,-17.81,150.19
4.63,-9.81,136.25
3.63,-9.06,132.63
-2.81,-27.06,172.44
-18.31,-7.5,130.63
0.12,-32.19,147.0
-1.0,-9.75,133.75
-1.69,-22.0,169.94
39.31,-0.69,174.25
46.0,-13.38,178.25
-19.87,-9.75,127.5
1.37,-23.69,167.25
-38.06,-30.62,143.44
44.75,-18.19,151.75
1.44,-27.69,183.44
42.81,-3.25,179.88
45.38,-0.69,178.13
-20.37,-32.44,146.5
40.56,-0.81,163.44
-50.69,-27.94,130.13
-20.0,-31.75,142.19
-0.37,-27.69,184.06
2.25,-24.44,175.56
2.81,-25.56,177.88
6.0,-11.88,139.13
-54.88,-27.5,123.12
3.19,-27.94,182.81
5.63,-21.81,174.56
15.5,-28.62,162.88
-18.56,-33.38,153.06
-48.75,-30.81,123.94
1.19,-12.19,139.5
7.19,-13.0,142.88
33.69,7.75,148.63
-50.0,-28.62,130.88
37.38,1.31,161.06
3.0,-9.13,123.25
11.5,-29.69,161.75
42.31,-1.63,171.88
29.56,-22.44,149.19
17.69,9.88,130.5
-15.56,-32.56,145.56
2.06,-6.13,135.0
-6.88,-26.56,167.56
-0.88,-26.69,176.13
42.63,-17.94,162.0
-4.81,-29.69,146.25
-7.81,-1.63,127.44
8.13,-20.31,160.75
8.44,-28.37,177.56
31.0,-23.75,160.31
1.25,-25.69,164.38
2.31,-20.69,174.63
7.88,-19.25,180.81
18.94,8.81,134.38
4.44,-8.88,126.31
42.25,-16.81,169.13
-15.5,-29.62,162.0
42.25,2.5,173.38
2.44,-18.0,180.94
1.25,-17.81,156.38
8.69,-14.38,147.06
-35.56,-22.31,140.13
2.94,-9.06,124.25
12.75,-19.44,180.25
39.88,-21.56,160.69
5.5,-14.81,145.5
22.0,7.06,137.75
40.88,-14.75,163.25
-0.12,-15.88,163.38
-34.69,-34.44,143.69
1.44,-8.19,124.44
20.69,8.94,127.69
2.19,-25.87,172.5
41.75,-1.12,152.5
3.63,-9.81,129.75
40.5,-1.81,177.0
-8.63,0.0,129.69
2.13,-7.13,117.44
5.13,-13.13,137.44
-20.87,-29.56,168.31
1.63,-9.56,123.94
17.69,-7.06,177.19
