Biceps_X,Biceps_Y,Biceps_Z
84.81,-14.5,143.94
2.69,-16.37,110.62
11.81,-14.13,181.0
0.69,-17.19,98.75
24.31,-6.0,91.87
81.0,11.63,145.44
71.0,6.13,131.63
45.69,-5.44,94.81
7.44,-27.81,190.13
6.5,-32.75,184.19
78.75,5.81,135.5
61.25,22.75,165.75
0.12,-10.0,91.75
8.06,-29.12,172.38
-9.44,-31.19,150.63
-43.88,-3.06,118.87
10.25,-0.88,81.19
-32.13,7.19,90.44
1.56,-22.06,161.88
13.75,-34.81,164.63
-50.75,-17.69,134.31
-51.63,-14.19,132.13
-24.62,9.06,90.56
-0.12,-19.25,160.81
-65.5,-2.69,117.37
11.63,-31.81,198.56
71.37,17.25,163.56
70.12,-3.63,109.75
11.94,-28.87,199.06
45.88,-22.25,163.38
20.94,-32.0,162.13
-46.31,-23.12,137.63
-23.94,10.0,91.0
85.06,-19.0,144.19
-46.81,2.13,108.0
-1.31,-10.88,106.37
0.63,-18.06,104.25
3.88,-20.87,133.13
1.0,-16.62,103.06
42.38,-30.94,170.13
70.0,4.5,125.69
4.5,-21.5,162.13
-32.69,-25.94,144.75
26.12,2.75,93.69
-64.62,-3.75,123.75
61.31,0.31,109.12
0.69,-11.69,95.62
-4.13,4.69,90.37
-8.75,-32.88,156.0
50.56,-23.69,159.69
49.88,-21.94,156.25
44.56,-22.56,166.69
-2.25,-14.44,118.37
2.75,-6.13,91.75
1.88,-12.25,89.25
3.69,-7.69,90.19
-5.19,8.63,89.56
-15.31,-23.75,160.06
-64.75,-3.81,123.37
15.88,-19.69,157.0
29.37,-3.25,89.12
7.19,-24.62,155.94
29.31,-5.44,82.37
-54.75,-12.81,135.25
80.31,14.5,143.31
-35.81,11.94,98.5
-41.19,-20.44,141.94
8.69,-27.31,194.63
45.94,-15.25,158.38
34.38,-3.31,89.81
-67.37,-0.12,119.94
4.06,-20.56,144.75
0.94,-13.19,98.69
-37.19,5.06,98.62
-13.44,-22.31,158.0
9.13,-31.75,193.94
22.19,-11.0,182.63
77.69,10.44,146.81
-62.31,-5.25,125.5
31.0,-27.12,162.06
2.25,-23.31,127.37
3.75,-30.06,152.25
-50.56,-10.69,140.69
3.38,-2.63,88.44
-27.81,-34.44,160.75
-29.37,-26.75,154.88
68.0,-19.06,157.0
3.75,-20.81,135.56
77.19,5.31,121.81
-46.13,-16.56,139.19
-43.5,-12.06,125.0
-39.5,-15.5,148.38
-46.19,-6.44,117.0
2.81,-24.12,161.5
-67.87,-0.69,118.56
-47.69,-12.56,131.75
66.12,-21.75,171.5
-45.06,-3.44,112.19
-48.0,-15.13,134.81
57.88,-3.69,106.62
-59.06,-3.44,129.25
14.5,-18.5,190.94
-57.63,-1.5,127.19
-51.13,-11.88,138.44
-3.31,7.31,86.94
14.5,-33.31,194.94
-2.25,11.06,86.94
8.38,-30.56,198.38
1.06,-22.75,159.0
4.38,-14.19,107.56
-38.06,-23.69,147.0
-6.25,-31.69,177.25
-7.0,-30.0,157.19
8.25,-27.87,193.81
-37.75,-25.75,144.13
5.5,-30.06,167.75
3.19,-26.75,165.69
7.5,-30.06,188.75
29.0,3.81,89.25
10.94,-33.13,192.81
33.63,-2.69,167.75
6.44,-26.56,194.75
44.31,-21.69,157.81
-9.06,-20.56,151.38
86.44,-17.37,147.56
3.0,-28.31,156.0
23.94,-4.06,182.38
90.31,-12.63,148.56
73.5,-16.87,162.88
78.44,12.5,155.19
3.75,-19.06,117.25
0.06,-15.31,124.62
90.37,-12.81,147.75
-55.63,-12.69,136.69
86.5,-17.5,147.13
7.94,-21.31,175.31
11.25,-33.13,195.06
63.81,-7.38,98.75
14.13,-31.75,161.38
68.87,4.31,103.06
41.5,12.06,179.56
7.0,-30.12,155.56
76.37,8.19,126.37
-7.25,-31.12,174.44
3.13,-13.94,94.94
67.56,-19.5,163.25
-51.19,-17.31,133.94
-27.44,-28.62,149.44
3.75,-8.44,98.81
3.5,-13.75,100.06
-28.62,-18.56,152.75
9.56,-31.0,169.88
-42.56,-18.56,135.44
3.38,-12.13,87.31
2.5,-22.0,144.56
2.56,-0.25,87.62
3.13,-27.12,155.63
-62.94,-3.88,125.44
-12.38,5.31,88.0
4.06,-20.37,143.31
-27.44,-30.0,148.31
5.0,-22.19,165.94
1.12,-11.13,109.19
78.87,-13.88,148.38
7.0,-31.75,180.06
11.81,-28.81,195.38
-1.37,0.0,88.87
63.31,8.81,152.63
83.06,-15.88,155.5
-57.75,-11.88,132.25
45.75,3.13,191.69
43.88,7.63,184.38
2.38,-32.38,158.06
-0.94,-14.94,103.12
2.56,-19.12,121.25
11.5,4.38,89.5
81.12,6.63,121.56
64.87,-22.37,172.0
-13.88,-25.81,150.19
-1.19,-23.94,161.88
83.06,-15.31,156.13
3.06,-25.25,133.63
2.69,-17.12,113.06
-27.19,-32.44,150.31
88.0,-15.19,152.56
2.94,-26.5,154.75
-6.69,-23.37,153.56
-48.06,-5.0,117.5
8.81,-31.75,192.81
16.62,5.06,88.37
16.69,-34.63,165.13
64.5,17.19,177.94
11.88,-32.75,190.75
82.37,7.75,126.94
4.81,3.5,84.31
-37.5,-23.75,146.25
1.88,-26.12,156.13
-43.0,3.56,104.12
21.06,-2.75,87.5
5.56,-24.75,155.75
6.38,-27.12,187.13
1.63,-35.69,160.31
-20.06,-30.37,151.31
47.56,-16.12,161.56
-1.25,-14.63,94.81
-15.25,-22.94,168.69
79.06,11.63,153.19
52.13,-5.69,101.06
3.69,-29.62,177.94
7.88,-30.56,165.38
1.19,-17.31,98.94
-45.13,3.69,102.94
9.06,-30.62,191.31
5.88,-13.0,92.56
4.31,-20.69,114.19
-46.0,-7.44,123.62
-28.87,24.94,98.06
81.94,16.75,155.31
2.75,-15.94,105.0
14.69,-34.44,157.06
-33.5,-27.87,150.0
40.31,-21.5,155.44
8.81,-30.5,195.0
-24.37,-30.19,146.06
-44.56,-12.81,124.25
-31.06,-24.25,148.69
11.94,-28.94,199.06
-28.56,7.0,98.0
19.87,-2.38,87.25
83.19,-16.87,151.94
-46.88,-19.81,140.44
71.5,12.06,162.94
6.06,-30.19,176.19
74.94,2.25,117.94
-43.19,-21.56,144.94
-41.63,0.63,112.12
-60.06,-9.63,127.94
-13.13,-31.75,153.69
-39.19,-0.31,104.19
-14.75,-32.06,150.56
10.5,-30.25,176.88
71.87,-2.13,114.94
3.69,-24.75,158.44
7.81,-27.56,183.25
-22.87,-29.19,150.06
-12.06,-19.5,155.5
8.69,-27.87,159.63
69.62,-18.19,156.88
41.69,-23.25,163.38
34.69,-22.62,155.69
-9.69,-24.5,166.19
65.81,-17.12,156.13
10.25,-26.19,191.38
1.12,-15.19,101.5
-50.81,-6.5,126.87
64.87,9.56,180.06
16.94,-19.87,185.5
8.06,-35.69,157.56
86.25,-15.38,154.75
-9.25,-22.69,152.88
0.88,-24.81,121.5
4.44,-16.62,104.56
34.88,-5.5,94.06
9.75,-30.81,171.25
-36.0,-27.0,148.69
6.25,18.5,90.12
37.94,-21.12,157.94
